arm,layer,layer_name,format_a,format_b,control_type,n_concepts,matched_score,matched_ci_low,matched_ci_high,control_score,control_ci_low,control_ci_high,paired_delta,ci_low,ci_high,p_perm_greater,retrieval_top1,retrieval_top5,retrieval_margin
base,1,layer_1,triplet,pairwise,lexical,128,0.9511394924484193,0.9506528767407871,0.9515923604834825,0.9503151434473693,0.9499926864053123,0.9506061581196263,0.0008243490010499954,0.0004833721788600087,0.001126227155327797,0.000999000999000999,0.015625,0.140625,-0.0047533775214105844
base,1,layer_1,triplet,pairwise,category_proxy,128,0.9511394924484193,0.9506119122030213,0.9516081008128822,0.9503553472459316,0.9499975886428729,0.9506929925759323,0.0007841452024877071,0.0005370147293433547,0.0010429612477310002,0.000999000999000999,0.015625,0.140625,-0.0047533775214105844
base,1,layer_1,triplet,feature_listing,random,128,0.984488520771265,0.9842367298202589,0.9847035151440651,0.9839379624463618,0.9837565102265217,0.9841438306495547,0.0005505583249032497,0.00035355215659365057,0.0007598871481604872,0.000999000999000999,0.015625,0.08203125,-0.0018904833123087883
base,1,layer_1,triplet,feature_listing,close_neighbor,128,0.984488520771265,0.9842159677762539,0.984759520390071,0.9841563734225929,0.9839164666249417,0.9843907788977958,0.00033214734867215157,0.0002010681200772524,0.0004539985558949411,0.000999000999000999,0.015625,0.08203125,-0.0018904833123087883
base,1,layer_1,triplet,feature_listing,far_neighbor,128,0.984488520771265,0.9842131373938173,0.9847221719450318,0.9835395929403603,0.9833674539113417,0.9837212249753066,0.0009489278309047222,0.0007750140386633575,0.0011400940245948731,0.000999000999000999,0.015625,0.08203125,-0.0018904833123087883
base,1,layer_1,triplet,feature_listing,lexical,128,0.984488520771265,0.9842259155120701,0.9847415614291094,0.9840755630284548,0.9838874534587376,0.9842635576729662,0.00041295774281024933,0.00021838629618287086,0.0006045795860700307,0.000999000999000999,0.015625,0.08203125,-0.0018904833123087883
base,1,layer_1,triplet,feature_listing,category_proxy,128,0.984488520771265,0.9842092433944345,0.9847301600500942,0.9840563759207726,0.9838105114991776,0.9842839087941684,0.0004321448504924774,0.0002653173403814435,0.0005872189300134778,0.000999000999000999,0.015625,0.08203125,-0.0018904833123087883
base,1,layer_1,pairwise,feature_listing,random,128,0.9349440867081285,0.9346091303508729,0.935368314886,0.9346723891794682,0.9344010602799244,0.9349169207736849,0.0002716975286602974,7.419381290674211e-06,0.0005354064749553794,0.028971028971028972,0.01171875,0.0703125,-0.0049450884107500315
base,1,layer_1,pairwise,feature_listing,close_neighbor,128,0.9349440867081285,0.9345521512790583,0.935350208892487,0.9348839144222438,0.9346070890896954,0.9351743730134331,6.017228588461876e-05,-0.00020585960010066628,0.0002816490363329648,0.34465534465534464,0.01171875,0.0703125,-0.0049450884107500315
base,1,layer_1,pairwise,feature_listing,far_neighbor,128,0.9349440867081285,0.9345725297462195,0.9353868092177435,0.9348539910279214,0.9345971483271569,0.9351265697856433,9.009568020701408e-05,-0.00022668024757876992,0.00042239157482981666,0.2787212787212787,0.01171875,0.0703125,-0.0049450884107500315
base,1,layer_1,pairwise,feature_listing,lexical,128,0.9349440867081285,0.9345656805206091,0.9353479208773934,0.9348849910311401,0.934646753652487,0.9351239490206353,5.9095676988363266e-05,-0.00019402923062443732,0.000341765081975609,0.34865134865134867,0.01171875,0.0703125,-0.0049450884107500315
base,1,layer_1,pairwise,feature_listing,category_proxy,128,0.9349440867081285,0.9345812440034933,0.9353255002992228,0.9346802732907236,0.9344153755460866,0.9349711082177237,0.00026381341740489006,8.287207456305624e-05,0.0004738088580779731,0.007992007992007992,0.01171875,0.0703125,-0.0049450884107500315
base,1,layer_1,__mean__,__mean__,random,128,0.9568573666426042,0.9565098489634692,0.9572306152277936,0.9562384141609073,0.9559825998963788,0.9564795605915908,0.000618952481697003,0.0003360046306625009,0.0008965728571638463,0.010323010323010322,0.014322916666666666,0.09765625,-0.0038629830814898014
base,1,layer_1,__mean__,__mean__,close_neighbor,128,0.9568573666426042,0.9565014574560337,0.9572277857378747,0.95666164237385,0.9563346120878123,0.9569803555573647,0.00019572426875432333,-1.1779682245105508e-05,0.0003887991071678698,0.12887112887112886,0.014322916666666666,0.09765625,-0.0038629830814898014
base,1,layer_1,__mean__,__mean__,far_neighbor,128,0.9568573666426042,0.9565011218888685,0.9572356777032839,0.9563416295374433,0.9560871790590074,0.956602633278817,0.0005157371051609516,0.0002627085079438985,0.0007804380535768964,0.09357309357309357,0.014322916666666666,0.09765625,-0.0038629830814898014
