subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS02,scrambled,32,layer_32,129.1549665014884,-0.0006075388519093394,"[-0.0024399380199611187, 0.0012248603161424398]"
UTS02,scrambled,32,layer_32,215.44346900318823,-0.0004837646265514195,"[-0.0020428402349352837, 0.0010753109818324447]"
UTS02,scrambled,32,layer_32,359.38136638046257,-0.0004564113914966583,"[-0.0017717895098030567, 0.0008589667268097401]"
UTS02,scrambled,32,layer_32,599.4842503189409,-0.0005131129291839898,"[-0.0015699306968599558, 0.0005437048384919763]"
UTS02,scrambled,32,layer_32,1000.0,-0.0006524059717776254,"[-0.0014096007216721773, 0.00010478877811692655]"
UTS02,taskvec_a0p25,16,layer_16,10.0,-0.00440383586101234,"[-0.0010742382146418095, -0.00773343350738287]"
UTS02,taskvec_a0p25,16,layer_16,16.68100537200059,-0.005207877606153488,"[-0.003142089117318392, -0.0072736660949885845]"
UTS02,taskvec_a0p25,16,layer_16,27.825594022071243,-0.005896293791010976,"[-0.0050010704435408115, -0.00679151713848114]"
UTS02,taskvec_a0p25,16,layer_16,46.41588833612777,-0.006421586265787482,"[-0.006433417089283466, -0.006409755442291498]"
UTS02,taskvec_a0p25,16,layer_16,77.4263682681127,-0.006779217626899481,"[-0.0074068717658519745, -0.006151563487946987]"
UTS02,taskvec_a0p25,16,layer_16,129.1549665014884,-0.007008906453847885,"[-0.008021890185773373, -0.005995922721922398]"
UTS02,taskvec_a0p25,16,layer_16,215.44346900318823,-0.007158875931054354,"[-0.00840070378035307, -0.005917048081755638]"
UTS02,taskvec_a0p25,16,layer_16,359.38136638046257,-0.007264665327966213,"[-0.008633271791040897, -0.005896058864891529]"
UTS02,taskvec_a0p25,16,layer_16,599.4842503189409,-0.007346582831814885,"[-0.008771748282015324, -0.005921417381614447]"
UTS02,taskvec_a0p25,16,layer_16,1000.0,-0.007410751888528466,"[-0.00883555132895708, -0.005985952448099852]"
UTS02,taskvec_a0p25,24,layer_24,10.0,-0.011569741182029247,"[-0.011364740319550037, -0.011774742044508457]"
UTS02,taskvec_a0p25,24,layer_24,16.68100537200059,-0.011824638117104769,"[-0.012605973519384861, -0.011043302714824677]"
UTS02,taskvec_a0p25,24,layer_24,27.825594022071243,-0.011900413315743208,"[-0.013480834662914276, -0.01031999196857214]"
UTS02,taskvec_a0p25,24,layer_24,46.41588833612777,-0.011873139534145594,"[-0.013989293947815895, -0.009756985120475292]"
UTS02,taskvec_a0p25,24,layer_24,77.4263682681127,-0.011813938152045012,"[-0.01425860170274973, -0.009369274601340294]"
UTS02,taskvec_a0p25,24,layer_24,129.1549665014884,-0.011762180365622044,"[-0.01441315095871687, -0.009111209772527218]"
