subject,region,n_concepts,n_voxels,arm,layer,layer_name,rsa_spearman,selection
03,Early Visual,90,5942,taskvec_a1p0,9,layer_9,0.025746902737035518,best_mean_subjects
03,Ventral Visual,90,3790,base,31,layer_31,0.14536355284783206,best_mean_subjects
03,Ventral Visual,90,3790,scrambled,7,layer_7,0.10353067980222753,best_mean_subjects
03,Ventral Visual,90,3790,lowLR,6,layer_6,0.15716452260961342,best_mean_subjects
03,Ventral Visual,90,3790,lowrank,6,layer_6,0.15541141120132188,best_mean_subjects
03,Ventral Visual,90,3790,taskvec_a0p25,6,layer_6,0.15268710227732368,best_mean_subjects
03,Ventral Visual,90,3790,taskvec_a0p5,6,layer_6,0.14911482615376215,best_mean_subjects
03,Ventral Visual,90,3790,taskvec_a1p0,7,layer_7,0.13691691749941456,best_mean_subjects
03,Dorsal Visual,90,1865,base,26,layer_26,0.024931905497573847,best_mean_subjects
03,Dorsal Visual,90,1865,scrambled,29,layer_29,0.028827140593199373,best_mean_subjects
03,Dorsal Visual,90,1865,lowLR,30,layer_30,0.0213680978903931,best_mean_subjects
03,Dorsal Visual,90,1865,lowrank,30,layer_30,0.019768515537782985,best_mean_subjects
03,Dorsal Visual,90,1865,taskvec_a0p25,26,layer_26,0.01672986746500072,best_mean_subjects
03,Dorsal Visual,90,1865,taskvec_a0p5,25,layer_25,0.015304653050842757,best_mean_subjects
03,Dorsal Visual,90,1865,taskvec_a1p0,6,layer_6,0.0243046485508635,best_mean_subjects
03,Language,90,5962,base,26,layer_26,0.005788318461443605,best_mean_subjects
03,Language,90,5962,scrambled,29,layer_29,0.030481145609015603,best_mean_subjects
03,Language,90,5962,lowLR,32,layer_32,0.012410978655993159,best_mean_subjects
03,Language,90,5962,lowrank,32,layer_32,0.014228813364940637,best_mean_subjects
03,Language,90,5962,taskvec_a0p25,29,layer_29,0.0036968117886066808,best_mean_subjects
03,Language,90,5962,taskvec_a0p5,30,layer_30,0.011470434423645058,best_mean_subjects
03,Language,90,5962,taskvec_a1p0,30,layer_30,0.02388012043304386,best_mean_subjects
03,ATL (Semantic),90,7612,base,30,layer_30,0.015529354817052483,best_mean_subjects
03,ATL (Semantic),90,7612,scrambled,29,layer_29,0.02412123619582095,best_mean_subjects
03,ATL (Semantic),90,7612,lowLR,31,layer_31,0.020869243900988422,best_mean_subjects
03,ATL (Semantic),90,7612,lowrank,30,layer_30,0.01688352279656335,best_mean_subjects
03,ATL (Semantic),90,7612,taskvec_a0p25,31,layer_31,0.01609894440816597,best_mean_subjects
03,ATL (Semantic),90,7612,taskvec_a0p5,30,layer_30,0.019567668331601087,best_mean_subjects
03,ATL (Semantic),90,7612,taskvec_a1p0,30,layer_30,0.023433939924372815,best_mean_subjects
03,Prefrontal,90,8150,base,4,layer_4,0.010764307915210774,best_mean_subjects
03,Prefrontal,90,8150,scrambled,31,layer_31,0.023277376885167445,best_mean_subjects
03,Prefrontal,90,8150,lowLR,31,layer_31,0.006236786693068562,best_mean_subjects
03,Prefrontal,90,8150,lowrank,31,layer_31,0.0024435625219842152,best_mean_subjects
03,Prefrontal,90,8150,taskvec_a0p25,29,layer_29,0.005937931283620615,best_mean_subjects
03,Prefrontal,90,8150,taskvec_a0p5,31,layer_31,0.012470967171500643,best_mean_subjects
03,Prefrontal,90,8150,taskvec_a1p0,31,layer_31,0.017705553378448532,best_mean_subjects
03,TGd,90,2078,base,24,layer_24,-0.008378751788356483,best_mean_subjects
03,TGd,90,2078,scrambled,29,layer_29,-0.010794540714828823,best_mean_subjects
03,TGd,90,2078,lowLR,29,layer_29,-0.008279169432944388,best_mean_subjects
03,TGd,90,2078,lowrank,29,layer_29,-0.010715186971027928,best_mean_subjects
03,TGd,90,2078,taskvec_a0p25,29,layer_29,-0.012309117170364627,best_mean_subjects
03,TGd,90,2078,taskvec_a0p5,29,layer_29,-0.012377548237241843,best_mean_subjects
03,TGd,90,2078,taskvec_a1p0,29,layer_29,-0.010895050712291144,best_mean_subjects
03,TGv,90,654,base,31,layer_31,-0.002407017422696152,best_mean_subjects
03,TGv,90,654,scrambled,15,layer_15,0.012120106833654491,best_mean_subjects
03,TGv,90,654,lowLR,31,layer_31,0.0037387889923692964,best_mean_subjects
03,TGv,90,654,lowrank,31,layer_31,0.0030762958444469886,best_mean_subjects
03,TGv,90,654,taskvec_a0p25,31,layer_31,-0.00021558337735757004,best_mean_subjects
03,TGv,90,654,taskvec_a0p5,32,layer_32,0.004929426716970121,best_mean_subjects
03,TGv,90,654,taskvec_a1p0,31,layer_31,0.024224872642134392,best_mean_subjects
03,TE1a,90,608,base,8,layer_8,0.030269084880426296,best_mean_subjects
03,TE1a,90,608,scrambled,32,layer_32,0.014900741338612624,best_mean_subjects
03,TE1a,90,608,lowLR,16,layer_16,0.011742318350944738,best_mean_subjects
03,TE1a,90,608,lowrank,16,layer_16,0.010178726118860863,best_mean_subjects
03,TE1a,90,608,taskvec_a0p25,15,layer_15,0.010921194676460654,best_mean_subjects
03,TE1a,90,608,taskvec_a0p5,31,layer_31,0.012795523085144834,best_mean_subjects
03,TE1a,90,608,taskvec_a1p0,32,layer_32,0.029337482325416157,best_mean_subjects
03,TE1m,90,457,base,3,layer_3,0.025992903657866887,best_mean_subjects
03,TE1m,90,457,scrambled,3,layer_3,0.03479822508638834,best_mean_subjects
03,TE1m,90,457,lowLR,31,layer_31,0.015761907356537885,best_mean_subjects
03,TE1m,90,457,lowrank,4,layer_4,0.027649297081104432,best_mean_subjects
03,TE1m,90,457,taskvec_a0p25,4,layer_4,0.026120002387062472,best_mean_subjects
03,TE1m,90,457,taskvec_a0p5,4,layer_4,0.024890934391290604,best_mean_subjects
03,TE1m,90,457,taskvec_a1p0,4,layer_4,0.01343379367971693,best_mean_subjects
03,TE1p,90,750,base,4,layer_4,0.023977015876806642,best_mean_subjects
03,TE1p,90,750,scrambled,3,layer_3,0.03335176344763089,best_mean_subjects
03,TE1p,90,750,lowLR,3,layer_3,0.031443718444677686,best_mean_subjects
03,TE1p,90,750,lowrank,4,layer_4,0.025689453375452472,best_mean_subjects
03,TE1p,90,750,taskvec_a0p25,4,layer_4,0.026990441463114478,best_mean_subjects
03,TE1p,90,750,taskvec_a0p5,4,layer_4,0.029432961461884368,best_mean_subjects
03,TE1p,90,750,taskvec_a1p0,31,layer_31,0.01977115332138977,best_mean_subjects
03,TE2a,90,765,base,25,layer_25,0.010509826149288304,best_mean_subjects
03,TE2a,90,765,scrambled,17,layer_17,-0.006028803592009345,best_mean_subjects
03,TE2a,90,765,lowLR,22,layer_22,0.020809675869221386,best_mean_subjects
03,TE2a,90,765,lowrank,22,layer_22,0.021012419642003358,best_mean_subjects
03,TE2a,90,765,taskvec_a0p25,25,layer_25,0.01523056702871251,best_mean_subjects
03,TE2a,90,765,taskvec_a0p5,25,layer_25,0.015898449130623344,best_mean_subjects
03,TE2a,90,765,taskvec_a1p0,24,layer_24,0.015091401480918329,best_mean_subjects
03,TE2p,90,427,base,30,layer_30,0.03938981095717901,best_mean_subjects
03,TE2p,90,427,scrambled,28,layer_28,0.03912459947732881,best_mean_subjects
03,TE2p,90,427,lowLR,30,layer_30,0.0334864312577518,best_mean_subjects
03,TE2p,90,427,lowrank,30,layer_30,0.0254734140226127,best_mean_subjects
03,TE2p,90,427,taskvec_a0p25,6,layer_6,0.045492131956256,best_mean_subjects
03,TE2p,90,427,taskvec_a0p5,6,layer_6,0.04993088945306686,best_mean_subjects
